California Mortality,Year
478.2505803,1980
463.2194514,1981
458.2599049,1982
445.4576189,1983
447.0913524,1984
443.7854003,1985
434.1334953,1986
431.5505338,1987
426.4396248,1988
417.2228732,1989
397.6756694,1990
387.5531238,1991
376.6406471,1992
372.7855714,1993
370.210824,1994
360.9966334,1995
351.0717119,1996
342.8356291,1997
337.6114483,1998
339.6646176,1999
328.556861,2000
324.0972929,2001
312.4395266,2002
304.1594526,2003
287.3889306,2004
276.9782765,2005
273.2892321,2006
258.5175937,2007
247.7465932,2008
241.754631,2009
234.187221,2010
233.3677504,2011
228.8193199,2012
227.1929383,2013
221.9443154,2014
